timestamp,kind,kernel_kind,load,attempt,sweep_var,sweep_value,launch_ms,exit
2026-05-13T22:47:13+00:00,minimal,stock,idle,3,mem_mib,2048,1338,0
2026-05-13T22:47:14+00:00,minimal,stock,idle,4,mem_mib,2048,1338,0
2026-05-13T22:47:16+00:00,minimal,stock,idle,5,mem_mib,2048,1341,0
2026-05-13T22:47:17+00:00,minimal,stock,idle,6,mem_mib,2048,1339,0
2026-05-13T22:47:19+00:00,minimal,stock,idle,7,mem_mib,2048,1339,0
2026-05-13T22:47:20+00:00,minimal,stock,idle,8,mem_mib,2048,1338,0
2026-05-13T22:47:21+00:00,minimal,stock,idle,9,mem_mib,2048,1340,0
2026-05-13T22:47:23+00:00,minimal,stock,idle,10,mem_mib,2048,1340,0
2026-05-13T22:47:24+00:00,minimal,stock,idle,11,mem_mib,2048,1340,0
2026-05-13T22:47:26+00:00,minimal,stock,idle,12,mem_mib,2048,1340,0
2026-05-13T22:47:27+00:00,minimal,stock,idle,13,mem_mib,2048,1341,0
2026-05-13T22:47:28+00:00,minimal,stock,idle,14,mem_mib,2048,1338,0
2026-05-13T22:47:30+00:00,minimal,stock,idle,15,mem_mib,2048,1338,0
2026-05-13T22:47:31+00:00,minimal,stock,idle,16,mem_mib,2048,1338,0
2026-05-13T22:47:33+00:00,minimal,stock,idle,17,mem_mib,2048,1339,0
2026-05-13T22:47:34+00:00,minimal,stock,idle,18,mem_mib,2048,1444,0
2026-05-13T22:47:35+00:00,minimal,stock,idle,19,mem_mib,2048,1338,0
2026-05-13T22:47:37+00:00,minimal,stock,idle,20,mem_mib,2048,1340,0
2026-05-13T22:47:38+00:00,minimal,stock,idle,21,mem_mib,2048,1341,0
2026-05-13T22:47:40+00:00,minimal,stock,idle,22,mem_mib,2048,1338,0
2026-05-13T22:47:41+00:00,minimal,stock,idle,23,mem_mib,2048,1337,0
2026-05-13T22:47:42+00:00,minimal,stock,idle,24,mem_mib,2048,1340,0
2026-05-13T22:47:44+00:00,minimal,stock,idle,25,mem_mib,2048,1338,0
2026-05-13T22:47:45+00:00,minimal,stock,idle,26,mem_mib,2048,1237,0
2026-05-13T22:47:46+00:00,minimal,stock,idle,27,mem_mib,2048,1338,0
2026-05-13T22:47:48+00:00,minimal,stock,idle,28,mem_mib,2048,1339,0
2026-05-13T22:47:49+00:00,minimal,stock,idle,29,mem_mib,2048,1338,0
2026-05-13T22:47:51+00:00,minimal,stock,idle,30,mem_mib,2048,1340,0
2026-05-13T22:47:52+00:00,minimal,stock,idle,31,mem_mib,2048,1339,0
2026-05-13T22:47:53+00:00,minimal,stock,idle,32,mem_mib,2048,1339,0
