timestamp,egress,kind,kernel_kind,load,attempt,concurrency,vm_index,launch_ms,exit
2026-05-13T18:17:48+00:00,none,minimal,stripped,idle,13,4,1,1517,0
2026-05-13T18:17:48+00:00,none,minimal,stripped,idle,13,4,2,1515,0
2026-05-13T18:17:48+00:00,none,minimal,stripped,idle,13,4,3,1516,0
2026-05-13T18:17:50+00:00,none,minimal,stripped,idle,14,4,0,1415,0
2026-05-13T18:17:50+00:00,none,minimal,stripped,idle,14,4,1,1516,0
2026-05-13T18:17:50+00:00,none,minimal,stripped,idle,14,4,2,1515,0
2026-05-13T18:17:50+00:00,none,minimal,stripped,idle,14,4,3,1517,0
2026-05-13T18:17:52+00:00,none,minimal,stripped,idle,15,4,0,1517,0
2026-05-13T18:17:52+00:00,none,minimal,stripped,idle,15,4,1,1518,0
2026-05-13T18:17:52+00:00,none,minimal,stripped,idle,15,4,2,1516,0
2026-05-13T18:17:52+00:00,none,minimal,stripped,idle,15,4,3,1516,0
2026-05-13T18:17:54+00:00,none,minimal,stripped,idle,16,4,0,1514,0
2026-05-13T18:17:54+00:00,none,minimal,stripped,idle,16,4,1,1516,0
2026-05-13T18:17:54+00:00,none,minimal,stripped,idle,16,4,2,1516,0
2026-05-13T18:17:54+00:00,none,minimal,stripped,idle,16,4,3,1516,0
2026-05-13T18:17:55+00:00,none,minimal,stripped,idle,17,4,0,317,1
2026-05-13T18:17:55+00:00,none,minimal,stripped,idle,17,4,1,1516,0
2026-05-13T18:17:55+00:00,none,minimal,stripped,idle,17,4,2,1516,0
2026-05-13T18:17:55+00:00,none,minimal,stripped,idle,17,4,3,1515,0
2026-05-13T18:17:57+00:00,none,minimal,stripped,idle,18,4,0,1518,0
2026-05-13T18:17:57+00:00,none,minimal,stripped,idle,18,4,1,1515,0
2026-05-13T18:17:57+00:00,none,minimal,stripped,idle,18,4,2,1516,0
2026-05-13T18:17:57+00:00,none,minimal,stripped,idle,18,4,3,1516,0
2026-05-13T18:17:59+00:00,none,minimal,stripped,idle,19,4,0,1416,0
2026-05-13T18:17:59+00:00,none,minimal,stripped,idle,19,4,1,1516,0
2026-05-13T18:17:59+00:00,none,minimal,stripped,idle,19,4,2,1416,0
2026-05-13T18:17:59+00:00,none,minimal,stripped,idle,19,4,3,1514,0
2026-05-13T18:18:01+00:00,none,minimal,stripped,idle,20,4,0,1515,0
2026-05-13T18:18:01+00:00,none,minimal,stripped,idle,20,4,1,1417,0
2026-05-13T18:18:01+00:00,none,minimal,stripped,idle,20,4,2,1515,0
2026-05-13T18:18:01+00:00,none,minimal,stripped,idle,20,4,3,1515,0
2026-05-13T18:18:03+00:00,none,minimal,stripped,idle,21,4,0,1417,0
2026-05-13T18:18:03+00:00,none,minimal,stripped,idle,21,4,1,1515,0
2026-05-13T18:18:03+00:00,none,minimal,stripped,idle,21,4,2,1515,0
2026-05-13T18:18:03+00:00,none,minimal,stripped,idle,21,4,3,1515,0
2026-05-13T18:18:04+00:00,none,minimal,stripped,idle,22,4,0,1519,0
2026-05-13T18:18:04+00:00,none,minimal,stripped,idle,22,4,1,1516,0
2026-05-13T18:18:04+00:00,none,minimal,stripped,idle,22,4,2,1516,0
2026-05-13T18:18:04+00:00,none,minimal,stripped,idle,22,4,3,1516,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,0,1517,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,1,1517,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,2,1516,0
